,text,class
33,"We were not interested in buying any stroller but the BOB Revolution Duallie until I started checking out the +one's features.  We had a BOB Revolution Single for our one child and loved it.  The +one has almost the same footprint (slightly larger) as the single BOB, but can accommodate two children- one can even be laying down.  We are a one stroller family, meaning a stroller has to be able to fit all circumstances including running trails and roads, walking busy sidewalks, cruising the airport, etc.  We were out and about in this stroller within days of our second child's arrival.  It worked great since our toddler could sit up front and our newborn could be completely flat.  Within 5-6 weeks we were able to run with both kids in tow.  We were able to switch our infant to an upright position at around five months as we continued to run 3-5 times a week.  (I'm not sure this is recommended, but our son was pretty strong from an early age and his neck was more than able to support his head even while bouncing around a bit).<br /><br />It collapses fairly easy, although ours gets stuck sometimes.  It won't store as small when you are using it for an infant and toddler because of the bassinet-type insert.  It should be noted that my toddler is very large for her age and quite picky, but she will switch from the front seat to the back and back again without caring that her legs must be very bent to fit in either seat.  (This was a big concern for me before purchasing the stroller).  The sun shade is huge and awesome.  The storage below is roomy.<br /><br />It does not go over the bumps quite like our BOB would, but I don't think that the +one is actually considered a jogging stroller and I am also comparing a single stroller to a double stroller.  Overall, this is a great stroller and I almost wish that it had been around when we were searching for a single stroller knowing that we were going to have kiddos fairly close together (22months apart).",X_train
34,looks awesome!  very happy with the hat and my little man loves wearing it!  Great buy for a great price.,X_train
35,This coffee is getting harder and harder to find. We are going to upgrade to a Keurig hope fully soon.,X_train
36,This stuff tastes great and has better ingredients than ensure.  I would recommend this to anyone who drinks ensure on a regular basis.,X_train
37,"Great potty.  Especially for boys. Most other potties he would pee out of the potty, but this works and holds it in.  Love the back support too,  He is really hyper and the back support hugs him so it has a calming effect.  Only negative thing, is that the potty is small and my son is 3 years, he is a big boy.  I wish they made this bigger.  I would get it anyway!",X_train
38,"I have been a Peanuts fan for many years. When my daughter announced she was having a boy, I decided this would be the theme for the baby's room!",X_train
39,Hard to find locally outside of Christmas.  These nuts were much fresher that what I could buy locally and should allow me to eat non-processed nuts year round.,X_train
40,This is so cute!!! Easy to put together. Amazingly durable. I weigh over 200 pounds and I can sit on the chair. My 2 year old grand daughter loves it and uses it all the time. She climbs all over the chairs and table and never once have they even looked like they would tip over!!!! Great product and low cost. I would recommend this to any parent.,X_train
41,I have made it most of the way through sample pack and so far I have been happy with it. Except the apple pie a la mode. I had nightmares about that flavor for two nights and anytime I catch a whiff of that smell they reoccur. I hesitate to try the banana foster for the same reason.,X_train
42,I have been using Bob's Red Mill mixes for years and have never been disappointed!,X_train
43,"This Tiger coffee was new taste for us but has turned out to be one of our favorites. Coffee was priced right, shipped fast and we will use this vendor again.",X_train
44,"I love this product, its a large container and is a great price for the size!! I recently purchased a different brand in the store because I happened to walk past it, and I HATED it.  I use this for everything, and I was not able to wiht the other brand I bought. :)",X_train
45,"Cute little book for baby.  Lots of nice noises, pages crinkle, rattle, squeek, etc.  Bright colors and different textures that baby will love.  Like all Jellycat products this seemed like is was designed just for my little guy!  You can see in the picture that this book has a little loop so you can attach it to stroller, shopping cart, etc....the loop has velcro so you can attach it easily LOVE this!  Also every other fabric soft book I have got has very rough \\""adult\\"" velcro on it....this book has micro velcro so when my son chews on it (which he does a lot) he wont scratch his gums!!!!!!!!  Top quality",X_train
46,My baby liked it for a couple weeks only......after  that he liked it as a toy more than a pacifier! however i liked how it stayed close to my son so he could suck on it anytime!,X_train
47,"i didnt use these for my baby as a bottle bc the nipple is way too small for his preference... didnt know what to do with them and I hate wasting things, so one day I had no clean containers to store the milk I was pumping and decided to use this 5 oz bottle...  THIS BOTTLE SCREWS ON PERFECTLY TO MY MEDELA PUMP!!  OMG, its a dollar!   Ive been using them ever since. just popped out the latex nipple and the lid created a perfect seal. very happy to have discovered that!",X_train
48,This bunny is so soft and huggable. My grandson loves it.<br /><br />he sleeps wth it whenever he comes to visit.,X_train
49,"Don't be disturbed by not being able to read the front of the package because these gummy lychees are the absolute best I have ever tasted. There seems to be more juiciness in them than the fruit itself would have! It's very rare to find a strawberry candy that doesn't taste fake, and this is definitely a good example of something that tastes real.",X_train
50,"Our bedroom is literally less than 20ft away from our daughters room, on the same floor. Right across the hall. We have to have her monitor as close to her door as possible, and ours is as close to our door as possible, and still, the reception is HORRIBLE, it constantly cuts out and back in as if I'm at max range. We have to adjust it often just to make sure it's in some perfect position that it might work all night long without cutting out completely and making the loud buzzing noises to let us know it's not working. We have the same problem with our parent unit we keep downstairs, horrible reception and occasionally decides to stop working all together! For such a pricey piece of equipment, it is HORRIBLE. Wish I would've saved my receipt. Never buying electronics from this company again.",X_train
51,These tasty wonton chips are great for salads! Individual serving bags keeps them fresh until you need to use a bag or two.,X_train
52,"This was easy to assemble, but once done, it's a little flimsier than most. A selling point of this bassinet is that it's portable but once you scoot it from one room to another more than a few times, the legs get a little wobbly.    Also, the \\""pin\\"" that is supposed to keep the cradle in place falls out too easily, and catches against the wood, which of course scratches it.     Another time, the pin goes in, but the pin is so thin that the cradle moves about. So if baby rolls to the side, he will be on a slight incline, which may wake him up because the pin comes out so easily and is the wrong girth. Also, my son got his foot stuck through the slats.",X_train
53,My fave snack that I keep stocked in my kitchen for me and the kids. They are both Healthy and delicious.,X_train
54,"I love this carseat and got it for a pretty good price on amazon!  A little heavy & bulky with the base....but, It does not really bother me!!  I would purchase this again!!",X_train
55,At a 1.33 each is not such a good price.  I found these at Sam's club at 6.88 for a box of 8.,X_train
56,"I bought four frames as Xmas gifts and can tell you it's been an uneven experience.  By no means am I a crafty mom, the main reason I bought the product was because it's not only \\""easy to use,\\"" but it doesn't look cheap.  The frame is lovely, and I appreciate the molding?/cutouts that will frame the actual photo/print.    The first try was a mess, and it took a few frustrating tries for the lightbulb to go off and get a successful imprint.  The rolling pin is useless as the clay stuck to the thing immediately.  So I flattened it out to a reasonable dimension w/ the palm of my hand.  Then I stuck my kid's hand into the clay, and the clay stuck to her hand terribly, ruining the imprint every time I tried to remove her hand.  Frustrating!  Why did it stick to her hand while not sticking to mine as I rolled it....?  Aha! Slightly dense, I know, but it finally occured to me that I should roll it on her no-longer-willing hand a little bit before sticking it into the clay for the umpteenth time.  Moderate success!  Exhausted, I put off the other 3 prints for the next day.      Feeling wiser and more confident, I set out to complete the project the following rainy afternoon. Seeing the stuff, my kid knew what was up and tried to hide behind her dad.  Happily, the following two imprints breezed by with nary a cry nor a curse.  Success within my grasp, I confidently ripped open the fourth and final package and met what nearly became my Waterloo.  The stuff stuck to me bad.  Words can't describe the panic-inducing mess as I struggled to free myself of this thing that was like wet bread dough and taffy rolled into one.  What had happened?  Was I really so arrogant?  Couldn't the gods let me have this one win?  For the entire length of time it took for my fella to win an online Halo match I struggled.  Concerned, my child offered to help me, but I would not sacrifice my offspring to this horror.  If I went down, I wanted my kid to live the rest of her life knowing her mommy's sacrifice every time she saw the empty shadow box on the wall.  I finally managed to scrape the stuff off my hands--I guess after 20 minutes' worth of air time, it finally hardened into something that was almost manageable.   Afraid of being trapped again, I put a light coating of olive oil on my hand to flatten out the clay.  Fearing for my kid's psyche, I did the same for my daughter, and I must say the image was the best one yet.  I don't know if any discoloration will result, but I figured I might have the kid paint them when ready.      Easy?  Sometimes, but this product is definitely not for the weak.  You've been warned.",X_train
57,I prefer the ergo and my husband prefers the mei tai but I use it at times as well. It's really nice to both.<br />But for me since I'm a petite frame the straps are too long and the knot formed at my low back bothers me or too much extra fabric hangs down. This is partly why is works better for my husband. He loves it.,X_train
58,This is the second time we are purchasing these clips. These are for the stroller for the baby we are currently expecting. We were very happy with our previous purchase that we didn't have any second thoughts of buying another pair.,X_train
59,My puppy just LOVES this ball! She loves anything that makes noise and this ball squeaks as it rolls around...and if she bumps it with her head it squeaks even louder....she a great time chasing it all over the house .....now its her favorite toy!,X_train
60,"I'm writing this at 3:30 am because this poorly designed product has the regrettable feature of keeping me up all night.  For some reason they designed the emitting unit so it is pretty much a five inch block of bright blue glowing light.  It literally lights up the entire room at night when I am trying to sleep.  There is no way to dim the light.  And now it is starting to flicker incessantly all night.  I can not understand why they would make a product that would be used at least 12-hours a day in darkness as a night light.  It is very frustrating.  The receiving end is also very bright in my child's room.  Perhaps I am just a light sleeper but then please consider this if you are one, too.",X_train
61,"These gummy worms are awesome!  They came super fresh and were perfectly gummy for my wedding candy bar.  When you can get the bag this large the price goes down per pound drastically.  I have purchased many times from here and will continue to do so.  This is the best way to get a ton of candy for a function, school event, party or just over all for candy addicts.",X_train
62,"We usually get a prime rib for Christmas dinner from Omaha Steaks but this year I decided to try Burgers because their hams were so good. I have got to say this prime rib roast was the best ever! You have got to try it! Our roast was almost 10Lbs and we fed 12 adults and 5 kids, the left-overs tasted as good the next day! We had Philly cheese steaks with au-jus. You will not be disappointed!",X_train
63,"I've got to stop buying these &#34;add-ons&#34;. What I got was OCD unfriendly. I got 3 blue cups and 3 red lids, 2 green cups and 2 orange lids, 1 yellow cup and one yellow lid. You only get 1 cap.",X_train
64,"I am generally a Seattle's Best coffee fan, but this competes well and is a bargain compared to some higher priced brands. The first bag impressed me with really oily fresh beans. The smell was somewhat off-putting when opening the bag for the first sniff. However the first batch through my French press was delicious! Upon sharing this with a few colleagues at work, the opinions were favorable. We like our coffee dark & strong with no acidity. Cafe Altura French roast is a winner and will also produce a fine espresso or a stout iced coffee. Okay- this is an update to the above: Upon trying an espresso grind, the coffee is still tasty but the oily beans finally killed my cheap burr grinder! If you are going to have freshly roasted, dark roasted, oily beans coffee, then use an inexpensive chopper-grinder or invest in a commercial grade, conical burr grinder. This is good coffee, but tuff on cheap grinders!",X_train
65,"This product closely resembles the gluten free variety and does not do enough to demonstrate the difference. My wife has celiac disease, we bought this inadvertently and cannot return it.",X_train
66,This pump works great. I bought it to go on a DaVinci 750mL syrup bottle and it fits perfectly. Two pumps in my iced coffee and it's like I'm in a coffee shop.,X_train
67,"Pleased with the product, delivery time was quick.  I bought it as a gift for a duck themed baby shower so I won't get to see how it works.  I saw some other types at a Uwajamia store recently but this one is cuter than what they had.",X_train
68,These olives retain the slightly bitter taste of uncured olives. They are an excellent choice if you want to stock up on canned olives.,X_train
69,"Best stroller yet.  I have three kids, two under the age of four, and have bought way too many strollers.  This is not the most expensive stroller I have purchased, but to date it has the best build quality, rolling characteristics, and ease of opening and closing.  It is larger than the four wheel umbrella types and some others when folded up, that is what you get with a jogging style three wheeler.  If this were lost I would immediately replace it.  Keep those umbrella strollers for the occasional dash to the supermarket, but for your intentional longer walks, trips through the shopping mall or just strolling, this is the one we prefer.",X_train
70,"This is terrific coffee for the price. How they can sell an expensive varietal coffee like Yirgacheffe(some of the best coffee in the world IMHO & many coffee writers)for these prices is a mystery. The roast is right in the middle so people who like the \\""Charbucks\\"" roast(which I do) may be slightly disappointed but I found plenty of good flavor in this, didn't really miss the dark roast. The icing on the cake is the wonderfully fast delivery time-my package's roasting date was 4 days before I got it!! Can't really improve on that unless you have a roaster in your neighborhood. Buy it direct from FRC, same price, freshest delivery!",X_train
71,"overall i really like this blanket a lot and i have used it regularly to help keep my baby warm but due to the relative thickness/stiffness of the material i tend to use it as you would a regular blanket (i.e. simply laid on top of sleeping baby) vs. as a swaddling blanket. it's also great for laying out flat to protect baby from surfaces and vice versa (e.g. floor, couch, bed, etc.) and i absolutely love the subtle color/pattern due to my minimalist, modern stylistic preferences.<br /><br />for swaddling my husband and i preferred to use the muslim cloths (e.g. aden + anais) as they were thinner/more flexible/had more stretch - for us they worked better to really cocoon our baby snugly as she is a little houdini and wrapping her in the swaddledesigns receiving blanket didn't work well at all. while the material is actually more similar to what they were using in the hospital it just didn't work well for us to keep her contained and wrapped up. also, our apartment tends to run warm vs. cool even though we live in a very cool-year-round city so the heavier flannel also was a touch too warm for swaddling use.<br /><br />that being said, i do still highly recommend this blanket because as already mentioned, it has a ton of other uses and is made from good quality material and has a great overall design. it holds up beautifully through multiple washes and i know i will be able to use it for many years to come for my baby. when we were still swaddling her we would use this one as an extra layer when needed on top (the hospital always swaddled her twice, we just swaddled once and then placed a second layer over her in her bassinet) and now that she's past needing to be swaddled i use it as a lighter blanket for crib naps during the day - the material is soft enough to be against baby's skin but stiff enough that i'm not concerned about it being a suffocation hazard in any way.",X_train
72,"Love this pak n play!  Cute, fun and colorful!  Has a great changing area for newborns and also has useful diaper and wipe storage.  Love it!",X_train
73,My 5 month-old grandson enjoys this toy.  He quickly learned how to make the music play and easy for him grab on it with the handle.,X_train
74,Love the bedding..it is exactly as shown..light weight. Washes good..fotted my sons toddler bed perfectly.,X_train
75,"Very nice idea of tower with many boxes, but even when it was packed in to a pocket - all boxes were in dust outside.... don't liked much because it was a gift.",X_train
76,"This is the one and only ORIGINAL Maggi, made in Germany. Simply the best. Makes everything taste better, no matter how good of a cook you are.",X_train
77,"$18 for a 15-lb bag of delicious brown rice is already a good deal, but what sold it was Prime shipping and it was at my doorstep in 2 days for free. Other vendors with similar sized products charge $10+ S&H due to weight of the item. Basically, if you have Prime, this is totally worth it. :)",X_train
78,"This is so nice for chilly days... I have 2 for our double stroller.  It's warm and cozy, my kids never complain about being cold when they're bundled up in these!",X_train
79,tasty  expensive but worth it.<br />PACKAGE comes from mail in small pieces. THe shipping people abuse the package and I get bits and pieces of cookie.,X_train
80,"Horrible, ridiculously thin, I used them once and now they sit in the linen closet.  Don't be sucked in by the cute design.  Buy towels at Target or Toys R Us/Babies R Us that you can feel before you buy them.  Trust me- avoid this product!!!",X_train
81,"Maybe my taste has changed but these don't taste as good as the ones my daughter purchased somewhere in Encinitas, Ca. Hers were in a 6 ounce package and the crackers were smaller, ideal for cheese spread.",X_train
82,"This is as close to the Sharwoods tandoori mix I used to love. It isn't exactly the same, but, after searching the world for the Sharwood's and finally realizing it is not on the market, this is the closest. So if you are partial to the Sharwoods you will like this ( almost as well).",X_train
83,"The roast date was July 14, I received it on August 19.  The coffee tastes stale.",X_train
84,when you want something low in calories and filling and very healthy you should try these. i use these to make sandwhiches with and use with  dips and just about anything i can think of.  i even give these to my dogs as a healthy treat and they love them,X_train
85,The Good Sense organic dried apricots are large and juicy when soaked. They do not have a bitter aftertaste like other brands. I make a puree and eat it like jam.,X_train
86,Thought they were gonna be a little bigger but actually for favor giving turned out to be perfect and packaged beautifully.,X_train
87,I LOVE this coffee. It has the best taste. And to order a  bunch at once is the way to go.,X_train
88,"This  is a wonderful source of nutrition and energy, with antioxidants we all need, especially us vegans!",X_train
89,It's everything you'd expect from a &#34;milk&#34; &#34;chocolate&#34; flavored candy bar that has never been within 500 ft of a cow or a cocoa bean. If you want a giant piece of matter that has been genetically altered to resemble the properties of a candy bar then you've come to the right place.,X_train
90,I was wanting to switch to an organic chemical free shampoo and I chose this one.  I will tell you it is difficult buying an object online that has a smell to it not knowing if you will like it or not.  Well....... I love it.  It smells amazingly enticing.  My hair is getting smoother and smoother by the day as I'm no longer suffocating it in chemicals.  I love this shampoo.,X_train
91,Great product. I absolutely love it because there is no white noise. Used this to replace the camera monitor from babies r us which the white noise was just driving me crazy.<br /><br />Update<br />This is still a great product the only problem I have is that if I take the receiver off and use the battery only the battery does not last very long. I think they should have went with maybe some bigger batteries or more so that it could last longer when not plugged in. Otherwise still a great product,X_train
92,Omaha Steaks has the greatest hot dogs for the price. These are not like the dogs from the grocery store. They are so much better. Only problem is the buns get lost.,X_train
93,"I drink a ton of Matcha, and have tried just about everything under the sun that claims to be ceremonial grade. Many fall horribly short of the mark. Was on DoMatcha and Matcha Ippuku which were working really well for me... until I found this.<br /><br />This is the sweetest most well balanced matcha I've ever tasted straight, short of permutations that cost $60 per ounce. The color is fresh and vibrant, again the best I've seen retail. It holds an ultra fine froth for an absurd amount of time, to the point that it feels like you are drinking a creamy beverage when there is no milk present. Properly prepared in the right concentration, it is almost like you are drinking a properly served Guinness.<br /><br />Packaging is great. No annoying pouch inside. Pop the top and the powder is there, waiting for you to dig in.<br /><br />Cooking with matcha and making matcha lattes is all fine and good, but do that with your second harvest stuff. Consuming this as anything less than a straight up cup of tea doesn't do the product justice.<br /><br />Yes, it is that good.",X_train
94,"I did quite a bit of online research before purchasing this BEE for my 20 month old daughter. I have been wanting to get a ride-on toy for some time, something she could use inside. We got the LARGE version (she is currently 24 lbs and average height) and was given to her as a 'prise' one morning. She immediately got on it, and started wheeling around. Each day she rides on it around the house and is always saying 'BEEE.\\""     Last week, her grandmother bought her an electric Dora car, which she did enjoy. But after riding it a few times, she got off, pulled out her BEE and started riding on it. She likes the Dora electric car, but LOVES the Bee. I highly recommend it as a non-plastic, very friendly toy and I wish I had gotten even a few months earlier.    UPDATE: 1/26/2010. Our daughter is now almost 2.5 years old. We had rain rain rain over the last few weeks so had one of our playgroups meet at an indoor mall. All the kids brought their ride on toys. Kettler push bikes, Radio Flyer, you name it. Every kid wanted to ride THE BEE. The little girls all around 2 years old took turns on it -- my daughter became quite upset because she wanted to ride it too and sharing at this age is more of a concept than reality. We love this BEE.",X_train
95,"My baby loves these. No issues. Seem to be sturdy (she plays with it and has 8 teeth and no tears or damage to the nipple or plastic). Seemed to be a good price, too.",X_train
96,"It´s a small tub, Usefull for travelling and small bathrooms. My 9 month baby girl likes it. The quality is good.",X_train
97,"We live in a very remote area (3rd world country) and are very health conscious. Being able to order stuff like this through Amazon really fills the bill.  When I found these, I immediately ordered.  I love these things.  They add a poppy-like seed crunch, with a health bang.  There are so many recipes that chia seeds can be added into, upping the vast health benefits.",X_train
98,I love the sauce in this spaghetti.  My family has been using it since the 60's- good kick to the sauce which is dehydrated tomato sauce and herbs---I use different pasta as the spaghetti doesn't do justice to the transporting of the sauce to the palate--rotini or penne rigate.,X_train
99,"I purchased two other sleep positioners that didn't work until I came across this one. My daughter snuggles into this and sleeps so peacefully. I love that you can adjust this according to the baby's size, the sides of the positioner aren't velcro so they always stay in place. Highly recommended!",X_train
100,It is Great to have a Decaf with Robust Boldness in the Morning! Buying it Bimonthly as a subscription is a nice perk,X_train
101,"Making great tasting popcorn couldn't be easier with these packets!  The size is good for 1 or 2 people, and all you need do is open and pour in the popper.  Add extra butter if desired, and the result is great tasting theater popcorn--much tastier than the packaged microwave stuff!  Nearly all the kernels pop every time.  Would definitely recommend to others!",X_train
102,"Admittedly, I am a no frills type so a dresser drawer would have been fine but this option is convenient, easily portable around the house and quite cute.  So far (one week into it's use) it seems quite durable and certainly the new baby seems quite happy to sleep in her bassinet.  Finally, the price can't be beat.  There are many much more expensive routes one can take, but those dollars saved will be put to good use elsewhere and the chic factor will not be missed by the newborn who isn't sleeping in a $1200 crib!",X_train
103,"Very soft and warm. It's like wrapping your baby up in a nice, warm, handknit sweater! The cotton yarn is of good quality and it's very well made. No complaints, just wish it was a little bit bigger.",X_train
104,"Tasty candy, too bad it's wrapped in paper that seems to be glued onto the candy.  Need to figure out what parchment and waxed paper are.  Or just don't use any of the paper (which about 1/4 don't).",X_train
105,"I love it, it is very, very good coffee the best I ever tried in k-cups.I get it on automatic delivery and that too is wonderful",X_train
106,I think I like this toy more than my son (11 months old).  He really hasn't showed much interest in it yet.  But I've learned to play chopsticks on it. :)  Maybe as he gets older he'll like it more.,X_train
107,My friend really loved the flowers she received as a gift for her birthday.  She said they held up really well and lasted quite a while.,X_train
108,Got this in mix pack when I bought the VUE ..Love it ... I will definitely order more very soon.,X_train
109,"I purchased this product because I wanted a powdered full fat cream substitute for baking and cooking on my low carb diet  ( full fat cream has zero carbs). However, when the product arrived, it was DRY WHOLE MILK which has 8 grams of carbs per 3 tbsp!  It has a decent taste and arrived as promised, but I would have never purchased dry whole milk... The product title is misleading.....",X_train
